Date et heure;Adresse MAC;Emplacement;Temperature
2020-01-09 21:56:14;b8:27:eb:ec:58:7b;Poste 11;55,5
2020-01-09 21:56:16;b8:27:eb:ec:58:7b;Poste 11;55,5
2020-01-09 21:56:18;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:20;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:22;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:24;b8:27:eb:ec:58:7b;Poste 11;56
2020-01-09 21:56:26;b8:27:eb:ec:58:7b;Poste 11;56
2020-01-09 21:56:28;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:30;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:32;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:34;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:36;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:38;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:40;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:42;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:44;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:46;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:48;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:50;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:52;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:54;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:56;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:58;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:57:00;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:02;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:04;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:06;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:08;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:10;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:12;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:14;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:16;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:18;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:20;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:22;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:24;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:26;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:28;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:30;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:32;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:34;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:36;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:38;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:40;b8:27:eb:ec:58:7b;Poste 11;57,8
2020-01-09 21:57:42;b8:27:eb:ec:58:7b;Poste 11;57,8
2020-01-09 21:57:44;b8:27:eb:ec:58:7b;Poste 11;57,8
2020-01-09 21:57:46;b8:27:eb:ec:58:7b;Poste 11;57,8
2020-01-09 21:57:48;b8:27:eb:ec:58:7b;Poste 11;57,8
2020-01-09 21:57:50;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:57:52;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:57:54;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:57:56;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:57:58;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:00;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:02;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:04;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:06;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:08;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:10;b8:27:eb:ec:58:7b;Poste 11;58
2020-01-09 21:58:12;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:14;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:16;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:18;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:20;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:22;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:24;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:26;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:28;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:30;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:32;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:34;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:36;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:38;b8:27:eb:ec:58:7b;Poste 11;58,2
2020-01-09 21:58:40;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:42;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:58:44;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:46;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:48;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:58:50;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:58:52;b8:27:eb:ec:58:7b;Poste 11;58,5
2020-01-09 21:58:54;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:58:56;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:58:58;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:00;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:02;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:04;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:06;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:08;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:10;b8:27:eb:ec:58:7b;Poste 11;58,8
2020-01-09 21:59:12;b8:27:eb:ec:58:7b;Poste 11;59
2020-01-09 21:59:14;b8:27:eb:ec:58:7b;Poste 11;59
2020-01-09 21:59:16;b8:27:eb:ec:58:7b;Poste 11;59
2020-01-09 21:59:18;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:20;b8:27:eb:ec:58:7b;Poste 11;59
2020-01-09 21:59:22;b8:27:eb:ec:58:7b;Poste 11;59
2020-01-09 21:59:24;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:26;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:28;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:30;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:32;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:34;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:36;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:38;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:40;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:42;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:44;b8:27:eb:ec:58:7b;Poste 11;59,2
2020-01-09 21:59:46;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:48;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:50;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:52;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:54;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 21:59:56;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 21:59:58;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 22:00:00;b8:27:eb:ec:58:7b;Poste 11;59,5
2020-01-09 22:00:02;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:04;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:06;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:08;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:10;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:12;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:14;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:16;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:18;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:20;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:22;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:24;b8:27:eb:ec:58:7b;Poste 11;59,8
2020-01-09 22:00:26;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:28;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:30;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:32;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:34;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:36;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:38;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:40;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:42;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:44;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:46;b8:27:eb:ec:58:7b;Poste 11;60
2020-01-09 22:00:48;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:00:50;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:00:52;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:00:54;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:00:56;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:00:58;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:00;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:02;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:04;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:06;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:08;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:10;b8:27:eb:ec:58:7b;Poste 11;60,2
2020-01-09 22:01:12;b8:27:eb:ec:58:7b;Poste 11;60,2
